gene_id	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
ENSG00000186487	29.889855	20.71692	21.395281	21.079116	30.4006	27.967891
ENSG00000186522	1263.266471	1354.299493	1375.457731	1201.141761	1299.848649	1326.51569
ENSG00000186684	12.833251	10.217377	12.730135	8.785576	8.835655	9.804724
ENSG00000186825	13.168555	18.914181	10.744591	7.36338	16.120251	8.810843
ENSG00000186854	1244.023718	1304.640098	1318.553059	1602.008159	1687.803461	1768.109571
ENSG00000186889	0	0.504253	1.057437	0.466377	0.447828	0
ENSG00000187123	53.14089	51.810571	55.695968	41.679442	47.109023	44.749966
ENSG00000187231	239.438917	264.43189	278.798129	186.857529	185.111981	267.049344
ENSG00000187514	43759.008107	42185.868384	37770.232432	48088.73531	44655.133093	42796.173503
ENSG00000187536	0	2.076313	0	0	0	1.081782
ENSG00000187605	157.672823	161.169714	146.290608	178.88666	187.645911	177.973754
ENSG00000187627	1.367478	1.893739	4.876627	0	1.940557	2.081586
ENSG00000187699	0	0	0.56356	0	0	0
ENSG00000187736	259.656033	246.769683	240.635433	273.953411	250.185708	252.210288
ENSG00000187833	0	0.173427	0.178233	0	0.154292	0.343488
ENSG00000187944	1.358218	1.352142	2.1082	0	0.597831	0.705591
ENSG00000187957	115.959552	114.41785	104.349202	113.035227	128.62019	105.166463
ENSG00000187999	0	0	0	0	0	0
ENSG00000188010	622.128108	618.103583	609.030588	573.546801	556.987368	477.327101
ENSG00000188011	0	0	0	0	0	0
ENSG00000188042	7.358961	5.647045	8.449207	0.74308	1.84023	1.357823
ENSG00000188177	11.944969	14.137434	6.804303	11.515463	20.283197	9.836727
ENSG00000188219	3.249766	3.01776	2.986444	4.059719	4.305693	4.770273
ENSG00000188282	0	0	0	0	0	0
ENSG00000188383	0	0	0	0	0	0
ENSG00000188389	1.680745	1.413823	1.223744	0.231089	1.736603	0.927518
ENSG00000188452	0	0	0	0	0	0
ENSG00000188542	47.863952	43.067605	51.192195	70.768039	72.887892	34.109851
ENSG00000188668	0	0	0	0	0	0
ENSG00000188674	0	0	0	0	0	0
ENSG00000188687	1.707389	2.276386	2.197025	0.188597	0.676885	1.011286
ENSG00000188738	22.010935	23.654045	27.460754	21.523443	37.648569	24.890422
ENSG00000188760	43.301555	39.703977	43.139664	56.801643	50.796182	45.033311
ENSG00000188765	25.206562	33.591465	27.138149	48.18189	22.838371	16.759565
ENSG00000188886	7.769773	8.244697	7.03002	0.564629	1.285227	0.397149
ENSG00000189292	0	0	1.187218	0	0	0
ENSG00000189350	210.012898	183.450303	161.959744	140.897947	182.646515	175.815483
ENSG00000189362	88.538702	80.737562	84.575997	75.370897	93.436735	86.33304
ENSG00000196085	0	0	0	0	0	0
ENSG00000196141	1051.453817	1026.70661	1012.169903	966.649485	959.334388	1068.323423
ENSG00000196151	124.444485	121.029602	117.438137	144.61028	141.747395	153.033059
ENSG00000196208	21.101148	24.713924	20.357272	22.002873	22.306114	18.156999
ENSG00000196228	0	0	0	0	0	0
ENSG00000196290	624.135982	639.776413	576.638791	664.682555	617.651087	660.696609
